Author,Paper Count
Abel C. H. Chen,9
Angshuman Karmakar,9
Suparna Kundu,7
Ingrid Verbauwhede,7
Yunlei Zhao,5
Attila A. Yavuz,4
Emily Wenger,4
Kristin Lauter,4
Saleh Darzi,4
Mehran Mozaffari Kermani,4
Shiva Raj Pokhrel,4
Gang Li,4
Reza Azarderakhsh,3
Junyu Liu,3
Kunal Dey,3
Juan Pedro Hecht,3
Hugo Daniel Scolnik,3
Attila Altay Yavuz,3
Jieyu Zheng,3
Atul Chaturvedi,3
Kasra Ahmadi,3
Saif E. Nouma,3
Kiarash Sedghighadikolaei,3
Takashi Yamakawa,3
Saeed Aghapour,3
Maximilian Schöffel,3
Prabhanjan Ananth,3
Norbert Wehn,3
Dafu Lou,3
Randy Kuang,3
Xiaogang Cheng,2
Francois Charton,2
Jose Maria Bermudo Mera,2
Ren Guo,2
Puja Mondal,2
Kai-Min Chung,2
M Sabbir Salek,2
Amit Behera,2
Dev Gurung,2
Ana Fernández-Vilas,2
Ludovic Perret,2
Manuel Fernández-Veiga,2
Mashrur Chowdhury,2
Pedro Otero-García,2
Alessandro Luongo,2
Xiao Liang,2
Vicente Martin,2
Juan P. Brito,2
Jaime S. Buruaga,2
Maria Perepechaenko,2
Sanzida Hoque,2
Mizanur Rahman,2
Alexander Kolar,2
Yingjie Lao,2
Or Sattath,2
Michael T. Solomon,2
Praveen Gauravaram,2
Warren Armstrong,2
F. Joseph Heremans,2
David D. Awschalom,2
Yafang Yang,2
Liang Jiang,2
Marco Calderini,2
Quinten Norga,2
Anindya Ganguly,2
Khondokar Fida Hasan,2
Xinmiao Zhang,2
Jiaxuan Cai,2
Louis Salvail,2
Pei Zeng,2
Mohammed Barhoush,2
Aditya Gulati,2
Nolan Bitner,2
Gerhard Wunder,2
Khan Reaz,2
Rotem Arnon-Friedman,2
Engin Zeydan,2
Shreyas Sen,2
José A. Méndez Méndez,2
Debayan Bandyopadhyay,2
Johannes Feldmann,2
Christopher Battarbee,2
Archisman Ghosh,2
Abdullah Aydeger,2
Zhenyu Song,2
Santosh Ghosh,2
Bong Gon Kim,2
Christian Näther,2
Jan-Philipp Steghöfer,2
Vikas Chouhan,2
Yoon Seok Yang,2
Dennis Wong,2
Vikas Srivastava,2
David Joseph,2
Strahinja Praska,2
Eshika Saxena,2
Carlo Sanna,2
Mohamed Malhou,2
Cathy Li,2
Abhinav Awasthi,2
Tiago M. Fernandez-Carames,2
Sumit Kumar Debnath,2
Aikata Aikata,2
Mihajlo Srbakoski,2
Stefan-Lukas Gazdag,2
Haoliang Zhu,2
Sujoy Sinha Roy,2
Daniel Herzinger,2
Daniel Loebenberger,2
Hong Zhang,2
Marija Mikic,2
Yaser Baseri,2
Yao-Ting Lin,1
Debapriya Basu Roy,1
Namya Dimri,1
Rasha Sinha,1
Samuel Pagliarini,1
Lucy Sharma,1
Anupama Arjun Pandit,1
Rafael J. Vicente,1
Kanaka Raju Pandiri,1
Arun Mishra,1
Ruben B. Mendez,1
Suraj Mandal,1
Hans H. Brunner,1
Sarani Bhattacharya,1
Malik Imran,1
Diego Lopez,1
Antonio Pastor,1
Ralf-Peter Braun,1
Momtchil Peev,1
Marc Geitz,1
Piotr Rydlichkowski,1
Fred Fung,1
Fatih Kaleoglu,1
Tanmay Tripathi,1
G S Mamatha,1
Lior Ozer,1
Arash Khalvan,1
S. M. Girvin,1
Simon Daum,1
Le Tian,1
Zhuo Zhang,1
Hanyu Wei,1
Zhiwei Chu,1
Shruti Puri,1
Abdelhakim Hafid,1
D. K. Weiss,1
Manish K Gupta,1
Ali Ghorbani,1
Aaron Chow,1
Jihoon Cho,1
Changhoon Lee,1
Eunkyung Kim,1
Jieun Lee,1
Beumjin Cho,1
Savo Glisic,1
Sourav Deb,1
Kouichi Sakurai,1
Paavan Parekh,1
Param Parekh,1
Shaurya Pratap Singh,1
Girraj Kumar Verma,1
Nahida Majeed Wani,1
Prosanta Gope,1
Max Brauer,1
Sayandeep Saha,1
Yasuyuki Kachi,1
Carlos Hernando-Ramiro,1
Javier Junquera-Sánchez,1
Alessandro Annechini,1
Mauro Conti,1
Alessandro Barenghi,1
Alessandro Brighente,1
Tommaso Bianchi,1
Debasish Roy,1
Sihem Mesnager,1
Gerardo Pelosi,1
Paresh Baidya,1
Sang-Yoon Chang,1
Gennady Khalimov,1
Yevgen Kotukh,1
Yaroslav Balytskyi,1
Brinda Tank,1
Josu Etxezarreta Martinez,1
Pedro M. Crespo,1
Amir K. Khandani,1
Gerard Vidal,1
Antonio deMarti iOlius,1
Javier Oliva del Moral,1
Kazuhiro Yokoyama,1
Siddhartha Chowdhury,1
Momonari Kudo,1
Thanos Stouraitis,1
Baker Mohammad,1
Mahmoud Al-Qutayri,1
Hani Saleh,1
Ghada Alsuhli,1
Raja Jurdak,1
Gowri Ramachandran,1
Bo-Gyeong Kang,1
Tao Liu,1
Wonil Lee,1
Jang-Won Ju,1
Šimon Schierreich,1
Joseph Carolan,1
Alexander Poremba,1
Debdeep Mukhopadhyay,1
Jong-Yeon Park,1
John J. Prisco,1
Petros Wallden,1
 Pranjal,1
Saar Tarnopolsky,1
Alejandro Cohen,1
Quang Dao,1
Aayush Jain,1
Samuel Stevens,1
Peter Hillmann,1
Barak Nehoran,1
Tomoyuki Morimae,1
Niklas Nolte,1
Nitin Saxena,1
Tao Hou,1
François Charton,1
Tao Wang,1
Alex Seals,1
Luke Gayler,1
Marel Alvarado,1
José-Antonio Gómez-Sánchez,1
Óscar Gamallo-Palomares,1
